,class,kindom,phylum,class,order,family,genus,species
k_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae|g_Denitrovibrio|s_Denitrovibrio_acetiphilus,species,k_Bacteria,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,f_Deferribacteraceae,g_Denitrovibrio,s_Denitrovibrio_acetiphilus
k_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae|g_Geovibrio,genus,k_Bacteria,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,f_Deferribacteraceae,g_Geovibrio,
k_Bacteria|p_Deferribacteres|c_Deferribacteres|o_Deferribacterales|f_Deferribacteraceae|g_Geovibrio|s_Geovibrio_thiophilus,species,k_Bacteria,p_Deferribacteres,c_Deferribacteres,o_Deferribacterales,f_Deferribacteraceae,g_Geovibrio,s_Geovibrio_thiophilus
k_Bacteria|p_Candidatus_Bipolaricaulota,phylum,k_Bacteria,p_Candidatus_Bipolaricaulota,,,,,
k_Bacteria|p_Candidatus_Bipolaricaulota|g_Candidatus_Bipolaricaulis,genus,k_Bacteria,p_Candidatus_Bipolaricaulota,g_Candidatus_Bipolaricaulis,,,,
k_Bacteria|p_Candidatus_Bipolaricaulota|g_Candidatus_Bipolaricaulis|s_Candidatus_Bipolaricaulis_anaerobius,species,k_Bacteria,p_Candidatus_Bipolaricaulota,g_Candidatus_Bipolaricaulis,s_Candidatus_Bipolaricaulis_anaerobius,,,
k_Bacteria|c_Candidatus_Babeliae,class,k_Bacteria,c_Candidatus_Babeliae,,,,,
k_Bacteria|c_Candidatus_Babeliae|o_Candidatus_Babeliales,order,k_Bacteria,c_Candidatus_Babeliae,o_Candidatus_Babeliales,,,,
k_Bacteria|c_Candidatus_Babeliae|o_Candidatus_Babeliales|f_Candidatus_Babeliaceae,family,k_Bacteria,c_Candidatus_Babeliae,o_Candidatus_Babeliales,f_Candidatus_Babeliaceae,,,
k_Bacteria|c_Candidatus_Babeliae|o_Candidatus_Babeliales|f_Candidatus_Babeliaceae|g_Candidatus_Babela,genus,k_Bacteria,c_Candidatus_Babeliae,o_Candidatus_Babeliales,f_Candidatus_Babeliaceae,g_Candidatus_Babela,,
k_Bacteria|c_Candidatus_Babeliae|o_Candidatus_Babeliales|f_Candidatus_Babeliaceae|g_Candidatus_Babela|s_Candidatus_Babela_massiliensis,species,k_Bacteria,c_Candidatus_Babeliae,o_Candidatus_Babeliales,f_Candidatus_Babeliaceae,g_Candidatus_Babela,s_Candidatus_Babela_massiliensis,
k_Bacteria|f_Candidatus_Chazhemtobacteraceae,family,k_Bacteria,f_Candidatus_Chazhemtobacteraceae,,,,,
k_Bacteria|f_Candidatus_Chazhemtobacteraceae|g_Candidatus_Chazhemtobacterium,genus,k_Bacteria,f_Candidatus_Chazhemtobacteraceae,g_Candidatus_Chazhemtobacterium,,,,
