group	low	low	high	high	high	low	low	high	high	low	high	high	high	high	low	low	low	high	high	high	low	high	high	high	low	high
g_Faecalibacterium	0.0278	0.0316	0.0317	0.0788	0.1872	0.0701	0.0986	0.05	0.1289	0.1489	0.0976	0.066	0.0288	0.0695	0.079	0.049	0.0434	0.0849	0.0295	0.0778	0.0203	0.0437	0.0601	0.0513	0.0642	0.0536
g_Faecalibaculum	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Faecalicoccus	0.0013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
g_Faecalitalea	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Fastidiosipila	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00
g_Finegoldia	0.00E+00	0.00E+00	0.00E+00	1.00E-04	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	1.00E-04	0.00E+00	0.00E+00
g_Firmicutes	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00	1.00E-04	1.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	1.00E-04	0.00E+00
g_Flavonifractor	0	0.0013	0.0021	0.0001	0	0.0015	0.0002	0.0001	0.0006	0	0	0.001	0.0001	0	0.0004	0.0009	0	0.0014	0	0.0003	0.0002	0.0003	0.0003	0	0	0.0001
g_Fournierella	0.0003	0	0	0.0009	0.0011	0	0	0.0002	0.0003	0.0003	0	0	0.0002	0.0002	0.0004	0.0001	0.0001	0.0004	0.0002	0.0005	0.0005	0	0.0005	0.0013	0.0002	0
g_Fusicatenibacter	0.0082	0.0007	0.0017	0.0019	0.0004	0.0023	0.006	0.0002	0.0005	0.0012	0.0002	0.0022	0.0005	0.0005	0.0009	0.0013	0.0004	0.0009	0.0013	0.0035	0.0005	0.0012	0.0011	0.0013	0.0002	0.0005
g_Fusobacterium	0	0.0001	0.0001	0.0001	0.0007	0.0005	0.0001	0.0001	0.0001	0.0024	0.01	0	0	0	0	0.0001	0.0685	0.0003	0.0001	0.0001	0.0002	0.0001	0.0004	0.0002	0.0001	0.0154
g_GCA-900066225	7.00E-04	3.00E-04	8.00E-04	4.00E-04	2.00E-04	0.00E+00	4.00E-04	5.00E-04	1.00E-04	0.00E+00	3.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	0.00E+00	5.00E-04	7.00E-04	0.00E+00	0.00E+00	0.00E+00	0.00E+00
